gene_id,expression,H3K27ac_signal,H3K4me3_signal
159,5.568,3.213,6.538
160,7.107,5.985,5.669
161,4.266,3.538,3.666
162,7.301,6.181,5.296
163,7.145,6.738,5.598
164,4.674,3.769,6.368
165,7.777,6.445,6.897
166,6.185,5.619,3.782
167,5.709,6.233,4.027
168,6.241,7.845,3.491
169,6.501,4.632,4.719
170,5.16,3.869,5.56
171,4.751,3.666,6.185
172,5.137,3.776,4.909
173,5.234,4.884,4.616
174,5.548,5.512,5.182
175,5.354,5.415,3.998
176,8.944,6.241,7.507
177,4.619,5.02,3.071
178,7.633,7.18,5.222
179,9.193,4.603,7.428
180,7.922,9.08,5.008
181,6.608,5.939,4.772
182,4.544,3.714,4.571
183,4.219,3.394,4.784
184,7.068,5.724,6.647
185,3.478,4.665,2.346
186,8.249,6.071,6.84
187,7.285,5.71,3.291
188,5.074,4.891,4.68
189,4.574,3.73,4.485
190,5.233,2.728,5.706
191,4.62,4.33,3.082
192,7.349,6.285,5.555
193,9.105,5.321,7.429
194,1.622,3.131,3.364
195,4.16,5.26,5.228
196,5.303,5.578,4.206
197,6.655,3.674,5.511
198,4.738,5.231,5.023
199,2.784,5.087,4.23
200,6.022,3.286,5.585
201,8.09,5.537,7.165
202,5.317,5.841,4.771
203,6.627,6.625,5.864
204,4.87,6.581,3.448
205,4.161,2.933,3.852
206,5.093,3.593,5.567
207,8.166,5.773,6.781
208,4.158,5.771,5.427
209,5.385,5.773,4.624
210,8.129,10.779,4.999
211,5.16,5.856,3.5
212,6.975,6.703,5.725
213,8.276,6.431,6.059
214,4.469,5.977,4.457
215,5.389,4.527,4.436
216,7.366,6.138,5.319
217,6.683,3.841,4.476
218,5.327,4.645,4.921
219,7.733,4.272,7.52
220,4.234,5.123,4.704
221,5.422,8.472,4.57
222,4.695,2.199,4.223
223,7.212,6.029,5.893
224,5.608,2.581,4.783
225,3.823,4.292,4.221
226,8.515,6.633,6.586
227,8.987,5.096,6.704
228,4.994,3.383,4.279
229,4.06,3.927,2.76
230,7.448,6.019,6.209
231,3.403,3.904,4.178
232,8.1,5.325,5.949
233,3.787,5.068,2.636
234,6.713,4.023,6.071
235,5.292,8.216,3.547
236,6.096,5.951,5.877
237,5.674,1.962,5.017
238,5.022,5.28,3.855
239,6.434,4.007,4.512
240,7.231,6.279,5.824
241,3.794,3.811,5.127
242,7.233,4.828,5.701
243,7.605,5.757,7.372
244,5.991,6.299,3.123
245,6.462,3.2,6.941
246,4.435,4.498,5.125
247,4.994,4.288,3.921
248,6.312,4.02,3.404
249,7.731,7.648,4.773
250,7.09,5.607,6.106
251,5.848,3.109,4.847
252,8.261,6.377,6.813
253,6.669,8.183,3.259
254,5.855,6.549,4.985
255,3.9,2.721,3.497
256,6.87,4.274,5.436
257,7.057,6.9,6.064
258,6.359,3.938,4.495
259,4.03,5.666,1.875
260,6.013,6.162,5.239
261,6.539,3.61,5.524
262,6.055,4.911,5.485
263,5.134,0.138,6.483
264,3.985,3.463,3.715
265,6.343,4.621,5.816
266,6.478,3.128,6.431
267,6.06,7.449,2.866
268,3.322,2.855,5.384
269,4.203,4.34,4.395
270,6.888,5.196,4.902
271,7.367,7.162,5.417
272,3.947,2.846,4.415
273,5.144,6.745,4.189
274,5.074,5.015,5.041
275,2.442,3.528,3.695
276,5.354,5.693,3.697
277,6.223,5.299,5.815
278,3.653,4.1,3.621
279,6.586,5.105,5.8
280,6.429,4.422,5.555
281,6.499,5.17,2.929
282,4.596,5.993,4.187
283,9.388,7.379,6.433
284,5.033,3.143,3.823
285,6.641,8.2,4.443
286,5.009,2.072,5.554
287,6.155,4.772,5.94
288,6.441,5.882,4.698
289,7.087,5.421,4.283
290,7.288,4.066,6.707
291,7.812,4.688,7.087
292,6.072,4.26,6.175
293,4.265,4.116,5.102
294,5.814,6.274,4.03
295,6.673,5.536,4.003
296,4.521,3.961,5.627
297,6.154,6.349,5.502
298,7.593,5.461,6.682
299,6.348,6.219,5.781
300,4.503,5.944,3.196
301,5.868,3.757,6.262
302,3.455,4.16,3.802
303,5.406,6.121,4.539
304,7.362,5.916,5.3
305,6.545,4.969,7.395
306,7.362,5.176,8.732
307,7.009,6.916,5.728
308,6.034,4.113,4.78
309,6.743,5.821,5.641
310,6.198,4.697,6.065
311,5.597,4.673,4.615
312,6.886,6.648,7.154
313,7.331,6.238,5.276
314,7.453,6.22,5.597
315,7.283,6.958,5.799
316,7.305,5.032,5.506
317,6.276,6.023,6.007
318,6.244,4.535,4.259
319,5.931,5.486,4.33
320,4.647,4.805,3.68
321,6.455,5.145,5.527
322,7.076,5.893,5.935
323,6.847,3.773,5.549
324,8.195,8.139,7.009
325,4.499,3.491,4.993
326,6.542,3.179,5.802
327,5.469,6.737,3.69
328,7.135,6.187,4.535
329,8.66,5.936,5.835
330,6.897,5.943,6.019
331,6.363,4.982,4.647
332,4.177,3.654,4.914
333,5.439,5.114,3.179
334,5.332,3.984,4.572
335,8.006,6.463,6.068
336,5.808,4.779,5.69
337,4.273,3.762,5.601
338,6.249,4.518,5.06
339,4.489,5.619,5.008
340,4.693,4.154,4.208
341,6.801,3.767,5.839
342,6.75,5.366,5.505
343,8.4,5.367,5.59
344,6.07,4.24,4.369
345,3.169,4.293,2.416
346,7.178,5.348,6.317
347,4.375,2.828,4.425
348,2.688,2.889,3.965
349,5.179,3.922,5.832
350,4.991,4.68,4.53
351,5.344,5.466,6.272
352,7.791,7.213,5.74
353,7.078,6.286,5.82
354,3.184,4.76,3.361
355,7.414,4.971,6.454
356,6.071,3.496,5.314
357,5.882,4.972,4.557
358,5.609,4.567,5.172
359,5.268,5.484,2.869
